地区,总人口,未上过学,小学,初中,未上过学比重,小学比重,初中比重,其他学历比重,比重总和
北京,77005,19205,25267,17988,24.94,32.81,23.36,18.89,100.0
天津,53368,15673,20232,11804,29.37,37.91,22.12,10.6,100.0
河北,445763,142721,202807,83561,32.02,45.5,18.75,3.73,100.00000000000001
山西,190267,55744,83138,41963,29.3,43.7,22.05,4.95,100.0
内蒙古,114647,37690,45299,24228,32.87,39.51,21.13,6.49,99.99999999999999
辽宁,280112,65907,119991,74530,23.53,42.84,26.61,7.02,100.0
吉林,134987,31550,60104,32849,23.37,44.53,24.33,7.77,100.0
黑龙江,192877,41426,87501,50168,21.48,45.37,26.01,7.14,100.0
上海,113601,30221,37964,27444,26.6,33.42,24.16,15.82,100.0
江苏,486787,177087,206908,81018,36.38,42.5,16.64,4.48,100.0
浙江,293632,125701,121316,35296,42.81,41.32,12.02,3.85,99.99999999999999
安徽,346576,177974,108444,48971,51.35,31.29,14.13,3.23,100.0
福建,182247,54009,87622,30776,29.64,48.08,16.89,5.39,100.0
江西,228216,74715,103810,38897,32.74,45.49,17.04,4.73,100.00000000000001
山东,596626,262560,223776,88868,44.01,37.51,14.9,3.58,100.0
河南,506095,214507,179837,93036,42.38,35.53,18.38,3.71,99.99999999999999
湖北,304378,120939,116341,52646,39.73,38.22,17.3,4.75,99.99999999999999
湖南,373363,107377,186800,64149,28.76,50.03,17.18,4.03,100.0
广东,437389,128466,202171,81231,29.37,46.22,18.57,5.84,100.0
广西,246398,68900,123193,43881,27.96,50.0,17.81,4.23,100.00000000000001
海南,33662,12020,11728,7637,35.71,34.84,22.69,6.76,100.00000000000001
重庆,183304,59450,91393,26697,32.43,49.86,14.56,3.15,100.0
四川,525894,196429,245347,71036,37.35,46.65,13.51,2.49,100.0
贵州,200011,89088,77099,27971,44.54,38.55,13.98,2.93,100.00000000000001
云南,278115,117092,118620,32555,42.1,42.65,11.71,3.54,100.00000000000001
西藏,14692,11041,3035,387,75.15,20.66,2.63,1.56,100.0
陕西,198966,71261,78642,38720,35.82,39.53,19.46,5.19,100.0
甘肃,134040,64124,47881,16477,47.84,35.72,12.29,4.15,100.0
青海,28406,12708,10549,3668,44.74,37.14,12.91,5.21,99.99999999999999
宁夏,30558,13045,9995,5652,42.69,32.71,18.5,6.1,100.0
新疆,85232,19440,43797,15783,22.81,51.39,18.52,7.28,100.0
